program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;FIELD;maldishonest;mascot;3;0.34;28;1;10;30;303.191;303.31;387;154;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;15;30;204.396;204.53;386;150;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;20;30;154.773;154.90;384;140;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;25;30;123.686;123.81;388;148;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;30;30;104.065;104.19;386;145;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;35;30;88.9598;89.08;388;149;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;40;30;79.0096;79.14;385;149;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;45;30;70.0336;70.17;385;154;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;50;30;62.9548;63.07;386;157;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;55;30;58.7541;58.89;384;150;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;60;30;53.1881;53.31;383;151;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;65;30;49.4902;49.62;386;153;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;70;30;46.3528;46.46;384;147;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;75;30;43.6637;43.78;384;151;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;80;30;40.7839;40.91;382;153;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;85;30;38.5887;38.71;385;153;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;90;30;36.3424;36.46;383;153;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;95;30;34.5477;34.67;384;157;~1096;311.974;894.386
31;FIELD;maldishonest;mascot;3;NA;NA;NA;100;30;32.9128;33.04;387;160;~1096;311.974;894.386
31;FIELD;semidishonest;hemi;3;0.34;28;1;10;30;4.91232;7.24;47;89;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;15;30;3.47793;5.05;43;89;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;20;30;2.80914;4.02;43;88;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;25;30;2.33767;3.32;43;90;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;30;30;2.08292;2.92;43;90;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;35;30;1.83391;2.57;45;88;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;40;30;1.6717;2.32;43;92;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;45;30;1.51992;2.11;45;90;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;50;30;1.45555;1.99;43;90;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;55;30;1.36489;1.87;43;89;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;60;30;1.28988;1.81;45;88;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;65;30;1.26277;1.71;45;88;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;70;30;1.2431;1.67;43;87;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;75;30;1.1687;1.57;43;90;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;80;30;1.13021;1.51;43;91;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;85;30;1.08967;1.45;43;88;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;90;30;1.0523;1.41;45;91;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;95;30;1.02961;1.37;43;88;~879;3.52423;10.1947
31;FIELD;semidishonest;hemi;3;NA;NA;NA;100;30;1.01403;1.35;45;91;~879;3.52423;10.1947
31;FIELD;semidishonest;semi;3;0.34;28;1;10;30;42.5697;42.67;62;163;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;15;30;28.7522;28.86;64;159;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;20;30;22.3643;22.47;64;152;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;25;30;17.8116;17.92;63;160;~900;49.5791;148.359
31;FIELD;semidishonest;semi;3;NA;NA;NA;30;30;15.0187;15.13;64;155;~900;49.5791;148.359
